"","Misspecification","Parameter_RMSE","Classification_Accuracy","Cohen_Kappa"
"1",0,0.018506060476504,0.8774,0.953977547629685
"2",0.05,0.0873766394246221,0.874,0.945476968076464
"3",0.1,0.117610665907329,0.8692,0.933457056159809
"4",0.2,0.156954037350689,0.7698,0.685451041029432
"5",0.3,0.228530581193634,0.7258,0.577583257352153
"6",0.4,0.231848536474043,0.7394,0.609060120416356
"7",0.5,0.256925870850588,0.5688,0.182643353153954
"8",0.7,0.25050779783366,0.6238,0.317381440827171
