"","Misspecification","Parameter_RMSE","Classification_Accuracy","Cohen_Kappa"
"1",0,0.0580486832060026,0.864,0.938975088426651
"2",0.05,0.0837090600793007,0.862,0.933083463827125
"3",0.1,0.138331995358703,0.858,0.923563179738506
"4",0.2,0.16690426384251,0.802,0.786634448811413
"5",0.3,0.163747981831292,0.796,0.769159336355546
"6",0.4,0.221435660738179,0.702,0.543263885593099
"7",0.5,0.207640176102609,0.666,0.434542360609614
"8",0.7,0.242439660015095,0.52,0.0541245785648158
