"","Misspecification","Parameter_RMSE","Classification_Accuracy","Cohen_Kappa"
"1",0,0.0308862713224531,0.8752,0.954912070299631
"2",0.05,0.0600635885131503,0.8688,0.938858085803289
"3",0.1,0.10890110021106,0.8612,0.919765186280108
"4",0.2,0.202304361881297,0.7784,0.713904437202033
"5",0.3,0.206378902167159,0.7388,0.61572548037991
"6",0.4,0.236853131276227,0.6384,0.364836063076161
"7",0.5,0.265643374917778,0.602,0.256405640355334
"8",0.7,0.248733584765088,0.5388,0.092144606317798
