"","Misspecification","Parameter_RMSE","Classification_Accuracy","Cohen_Kappa"
"1",0,0.0299520566154469,0.87775,0.866807142624928
"2",0.05,0.0823089856508988,0.85275,0.809575803487553
"3",0.1,0.119864227631313,0.839,0.77786098365022
"4",0.2,0.210846595049587,0.73175,0.529963265396295
"5",0.3,0.24633698827216,0.67375,0.406464684025264
"6",0.4,0.235790656215832,0.668,0.387502955967831
"7",0.5,0.281101855229621,0.5985,0.219004090699473
"8",0.7,0.281931311887686,0.63025,0.300875597843749
