"","Misspecification","Parameter_RMSE","Classification_Accuracy","Cohen_Kappa"
"1",0,0.00620194337688571,0.8862875,0.882846742568133
"2",0.05,0.078877246610364,0.870925,0.847715883438014
"3",0.1,0.216032128282018,0.775525,0.627444117246729
"4",0.2,0.198183768177315,0.73455,0.535855220477492
"5",0.3,0.290239544771507,0.61975,0.278263444114524
"6",0.4,0.299741316715251,0.6109875,0.254818779234222
"7",0.5,0.269017303900084,0.67845,0.409078415093653
"8",0.7,0.290763263533133,0.5732125,0.165359203585433
