"","Misspecification","Parameter_RMSE","Classification_Accuracy","Cohen_Kappa"
"1",0,0.0193562334959464,0.876875,0.865304986506348
"2",0.05,0.119060065630729,0.837125,0.773666804098089
"3",0.1,0.133390194259743,0.813,0.718691246635818
"4",0.2,0.191733298997851,0.738,0.544772926575149
"5",0.3,0.25415749773287,0.6695,0.386154667443668
"6",0.4,0.279249955101125,0.645125,0.334600924184277
"7",0.5,0.29637098285724,0.61275,0.265903079223412
"8",0.7,0.299235098234683,0.613625,0.261923469312858
