"","Misspecification","Parameter_RMSE","Classification_Accuracy","Cohen_Kappa"
"1",0,0.0111401241231424,0.884225,0.880198435679548
"2",0.05,0.0882750122656251,0.842425,0.782964953710577
"3",0.1,0.149094508284781,0.826975,0.75001791980632
"4",0.2,0.188615674102011,0.7639,0.606728654622229
"5",0.3,0.237328728616726,0.696475,0.447614751391023
"6",0.4,0.276792988536845,0.6281,0.295403331977201
"7",0.5,0.300824742522964,0.58155,0.183178845311058
"8",0.7,0.289952226696832,0.615725,0.270366733845973
